ID,question,type,op1,op2,op3,op4
1,"What is my favorite food?","m","Pizza","Burger","noodles","Momos"
2,"What is my favorite movie genre?","m","sci-fi","romantic","comedy","action"
3,"What is my favorite color?","m","Red","pink","purple","violet"
4,"What is my favorite season?","m","winters","summer","monsoon","spring"
5,"What is my dream vacation destination?","m","London","paris","rome","tokyo"
6,"What do I spend the most money on?","m","movies","clothes","food","travel"
7,"What was my favorite childhood cartoon?","m","doraemon","shin-chan","oggy","pokemon"
8,"If I could have one superpower, what would it be?","m","invisibility","time-controlling","super-strength","flying"
9,"If I were an animal, what animal would I be?","t"
10,"If I got ₹1 crore, what would I buy first?","t"
11,"Which celebrity would I like to spend a day with?","t"
12,"What do I judge people for the most?","t"
13,"What is my biggest goal in life?","t"
14,"What do I value the most?","t"
15,"What makes me happiest?","t"
16,"How do I imagine my future self?","t"
17,"What would my perfect day look like?","t"
18,"When did we first meet?","t"
19,"What is our funniest memory together?","t"
20,"What helps me when I'm upset?","t"
21,"What is my most annoying habit?","t"
22,"Who would I call first if I got into trouble?","t"
